tag_id_long,date,watershed,site,species
989.001038744359,2021-04-20,englishman,center creek,rbt
989.001038746298,2021-04-20,englishman,martindale rd,co
989.001038744333,2021-04-20,englishman,center creek,rbt
989.001038744322,2021-04-20,englishman,center creek,rbt
989.001038744355,2021-04-20,englishman,center creek,rbt
989.001038746346,2021-04-20,englishman,martindale rd,co
989.001038744292,2021-04-20,englishman,center creek,rbt
989.001038744349,2021-04-20,englishman,center creek,rbt
989.001038746389,2021-04-20,englishman,martindale rd,co
989.001038746363,2021-04-20,englishman,martindale rd,co
989.001038744327,2021-04-20,englishman,center creek,rbt
989.001038744376,2021-04-20,englishman,center creek,rbt
989.001038744280,2021-04-20,englishman,center creek,rbt
989.001038744300,2021-04-20,englishman,center creek,rbt
989.001038744279,2021-04-20,englishman,center creek,rbt
989.001038744289,2021-04-20,englishman,center creek,rbt
989.001038744295,2021-04-20,englishman,martindale rd,co
989.001038744317,2021-04-20,englishman,center creek,rbt
989.001038744321,2021-04-20,englishman,center creek,rbt
989.001038744358,2021-04-20,englishman,center creek,rbt
989.001038746379,2021-04-20,englishman,martindale rd,co
989.001038746316,2021-04-20,englishman,martindale rd,co
989.001038744291,2021-04-20,englishman,center creek,rbt
989.001038744290,2021-04-20,englishman,center creek,rbt
989.001038746372,2021-04-20,englishman,martindale rd,co
989.001038744356,2021-04-20,englishman,center creek,rbt
989.001038746299,2021-04-20,englishman,martindale rd,co
989.001038746394,2021-04-20,englishman,martindale rd,co
989.001038744278,2021-04-20,englishman,center creek,rbt
989.001038744347,2021-04-20,englishman,center creek,rbt
989.001038744288,2021-04-20,englishman,center creek,rbt
989.001038746349,2021-04-20,englishman,martindale rd,co
989.001038744302,2021-04-20,englishman,center creek,rbt
989.001038746369,2021-04-20,englishman,martindale rd,co
989.001038746317,2021-04-20,englishman,martindale rd,co
989.001038744357,2021-04-20,englishman,martindale rd,co
989.001038744287,2021-04-20,englishman,center creek,rbt
989.001038744335,2021-04-20,englishman,martindale rd,rbt
989.001038744343,2021-04-20,englishman,martindale rd,co
989.001038744282,2021-04-20,englishman,martindale rd,co
989.001038744296,2021-04-20,englishman,center creek,rbt
989.001038745461,2021-04-22,englishman,martindale rd,co
989.001038744298,2021-04-22,englishman,martindale rd,co
989.001038745459,2021-04-22,englishman,martindale rd,co
989.001038745447,2021-04-22,englishman,martindale rd,co
989.001038744373,2021-04-22,englishman,martindale rd,co
989.001038745408,2021-04-22,englishman,martindale rd,co
989.001038745436,2021-04-22,englishman,martindale rd,co
989.001038744320,2021-04-22,englishman,martindale rd,co
989.001038745438,2021-04-22,englishman,martindale rd,co
989.001038745479,2021-04-22,englishman,martindale rd,co
989.001038745465,2021-04-22,englishman,martindale rd,co
989.001038745454,2021-04-22,englishman,martindale rd,co
989.001038745464,2021-04-22,englishman,martindale rd,co
989.001038744297,2021-04-22,englishman,martindale rd,co
989.001038745489,2021-04-22,englishman,martindale rd,co
989.001038745450,2021-04-22,englishman,martindale rd,co
989.001038745470,2021-04-22,englishman,martindale rd,co
989.001038744377,2021-04-22,englishman,martindale rd,co
989.001038744307,2021-04-22,englishman,martindale rd,co
989.001038745484,2021-04-22,englishman,martindale rd,co
989.001038744334,2021-04-22,englishman,martindale rd,co
989.001038744331,2021-04-22,englishman,martindale rd,co
989.001038745392,2021-04-22,englishman,martindale rd,co
989.001038744374,2021-04-22,englishman,martindale rd,co
989.001038744323,2021-04-22,englishman,martindale rd,co
989.001038745403,2021-04-22,englishman,martindale rd,co
989.001038745415,2021-04-22,englishman,martindale rd,co
989.001038745431,2021-04-22,englishman,martindale rd,co
989.001038744366,2021-04-22,englishman,martindale rd,co
989.001038745468,2021-04-22,englishman,martindale rd,co
989.001038745411,2021-04-22,englishman,martindale rd,co
989.001038745423,2021-04-22,englishman,martindale rd,co
989.001038745398,2021-04-22,englishman,martindale rd,co
989.001038745414,2021-04-22,englishman,martindale rd,co
989.001038745486,2021-04-22,englishman,martindale rd,co
989.001038745488,2021-04-22,englishman,martindale rd,co
989.001038745393,2021-04-22,englishman,martindale rd,co
989.001038745433,2021-04-22,englishman,martindale rd,co
989.001038745397,2021-04-22,englishman,martindale rd,co
989.001038745396,2021-04-22,englishman,martindale rd,co
989.001038745463,2021-04-22,englishman,martindale rd,co
989.001038745466,2021-04-22,englishman,martindale rd,co
989.001038745460,2021-04-22,englishman,martindale rd,co
989.001038745477,2021-04-22,englishman,martindale rd,co
989.001038745777,2021-04-23,englishman,center creek,co
989.001038745772,2021-04-23,englishman,center creek,co
989.001038745770,2021-04-23,englishman,center creek,co
989.001038745749,2021-04-23,englishman,center creek,co
989.001038745774,2021-04-23,englishman,martindale rd,co
989.001038745706,2021-04-23,englishman,center creek,co
989.001038745418,2021-04-23,englishman,center creek,rbt
989.001038745728,2021-04-23,englishman,martindale rd,co
989.001038745737,2021-04-23,englishman,martindale rd,co
989.001038745754,2021-04-23,englishman,martindale rd,co
989.001038745789,2021-04-23,englishman,center creek,co
989.001038745751,2021-04-23,englishman,center creek,ct
989.001038745715,2021-04-23,englishman,martindale rd,co
989.001038745755,2021-04-23,englishman,martindale rd,co
989.001038745696,2021-04-23,englishman,center creek,co
989.001038745720,2021-04-23,englishman,center creek,co
989.001038745781,2021-04-23,englishman,martindale rd,co
989.001038745719,2021-04-23,englishman,center creek,co
989.001038745761,2021-04-23,englishman,martindale rd,co
989.001038745782,2021-04-23,englishman,martindale rd,co
989.001038745732,2021-04-23,englishman,martindale rd,co
989.001038745698,2021-04-23,englishman,martindale rd,co
989.001038745474,2021-04-23,englishman,center creek,rbt
989.001038745721,2021-04-23,englishman,center creek,rbt
989.001038745691,2021-04-23,englishman,center creek,co
989.001038745729,2021-04-23,englishman,center creek,rbt
989.001038745733,2021-04-23,englishman,center creek,co
989.001038745725,2021-04-23,englishman,center creek,co
989.001038745778,2021-04-23,englishman,center creek,rbt
989.001038745722,2021-04-23,englishman,center creek,co
989.001038745779,2021-04-23,englishman,martindale rd,co
989.001038745707,2021-04-23,englishman,center creek,co
989.001038745704,2021-04-23,englishman,center creek,co
989.001038745480,2021-04-23,englishman,center creek,rbt
989.001038745724,2021-04-23,englishman,center creek,co
989.001038745766,2021-04-23,englishman,center creek,rbt
989.001038745471,2021-04-23,englishman,center creek,rbt
989.001038745405,2021-04-23,englishman,center creek,co
989.001038745692,2021-04-23,englishman,martindale rd,co
989.001038745695,2021-04-23,englishman,martindale rd,co
989.001038745444,2021-04-23,englishman,center creek,co
989.001038745428,2021-04-23,englishman,center creek,co
989.001038745702,2021-04-23,englishman,martindale rd,co
989.001038745745,2021-04-23,englishman,martindale rd,co
989.001038745703,2021-04-23,englishman,martindale rd,co
989.001038745768,2021-04-23,englishman,martindale rd,co
989.001038745717,2021-04-23,englishman,martindale rd,co
989.001038745773,2021-04-23,englishman,martindale rd,co
989.001038745786,2021-04-23,englishman,martindale rd,co
989.001038745765,2021-04-23,englishman,martindale rd,co
989.001038745750,2021-04-23,englishman,martindale rd,co
989.001038745481,2021-04-23,englishman,center creek,co
989.001038745734,2021-04-23,englishman,martindale rd,co
989.001038745694,2021-04-23,englishman,martindale rd,co
989.001038745739,2021-04-23,englishman,martindale rd,co
989.001038745742,2021-04-23,englishman,martindale rd,co
989.001038745730,2021-04-23,englishman,martindale rd,co
989.001038745445,2021-04-23,englishman,center creek,co
989.001038745788,2021-04-23,englishman,martindale rd,co
989.001038745757,2021-04-23,englishman,martindale rd,co
989.001038745741,2021-04-23,englishman,martindale rd,co
989.001038745760,2021-04-23,englishman,martindale rd,co
989.001038745424,2021-04-23,englishman,center creek,co
989.001038745711,2021-04-23,englishman,martindale rd,co
989.001038745723,2021-04-23,englishman,martindale rd,co
989.001038745413,2021-04-23,englishman,center creek,co
989.001038745756,2021-04-23,englishman,martindale rd,co
989.001038745448,2021-04-23,englishman,center creek,co
989.001038745714,2021-04-23,englishman,martindale rd,co
989.001038745487,2021-04-23,englishman,center creek,co
989.001038745485,2021-04-23,englishman,center creek,co
989.001038745759,2021-04-23,englishman,martindale rd,co
989.001038745763,2021-04-23,englishman,martindale rd,co
989.001038745758,2021-04-23,englishman,martindale rd,co
989.001038745716,2021-04-23,englishman,martindale rd,co
989.001038745693,2021-04-23,englishman,martindale rd,co
989.001038745458,2021-04-23,englishman,center creek,co
989.001038745744,2021-04-23,englishman,martindale rd,co
989.001038745401,2021-04-23,englishman,center creek,co
989.001038745422,2021-04-23,englishman,center creek,co
989.001038745469,2021-04-23,englishman,center creek,co
989.001038745441,2021-04-23,englishman,center creek,co
989.001038745697,2021-04-23,englishman,martindale rd,co
989.001038745439,2021-04-23,englishman,center creek,co
989.001038745478,2021-04-23,englishman,center creek,co
989.001038745420,2021-04-23,englishman,center creek,co
989.001038745430,2021-04-23,englishman,center creek,co
989.001038745412,2021-04-23,englishman,center creek,co
989.001038745747,2021-04-23,englishman,martindale rd,co
989.001038745394,2021-04-23,englishman,center creek,co
989.001038745708,2021-04-23,englishman,martindale rd,co
989.001038745709,2021-04-23,englishman,martindale rd,co
989.001038745710,2021-04-23,englishman,martindale rd,co
989.001038745395,2021-04-23,englishman,center creek,co
989.001038745410,2021-04-23,englishman,center creek,co
989.001038745726,2021-04-23,englishman,martindale rd,co
989.001038745427,2021-04-23,englishman,center creek,co
989.001038745435,2021-04-23,englishman,center creek,co
989.001038745407,2021-04-23,englishman,center creek,co
989.001038745787,2021-04-23,englishman,martindale rd,co
989.001038745701,2021-04-23,englishman,martindale rd,co
989.001038745746,2021-04-23,englishman,martindale rd,co
989.001038745764,2021-04-23,englishman,martindale rd,co
989.001038745419,2021-04-23,englishman,center creek,co
989.001038745783,2021-04-23,englishman,martindale rd,co
989.001038745718,2021-04-23,englishman,martindale rd,ct
989.001038745727,2021-04-23,englishman,martindale rd,co
989.001038745784,2021-04-23,englishman,martindale rd,co
989.001038745712,2021-04-23,englishman,martindale rd,co
989.001038745752,2021-04-23,englishman,martindale rd,co
989.001038745753,2021-04-23,englishman,martindale rd,co
989.001038745713,2021-04-23,englishman,martindale rd,co
989.001038745785,2021-04-23,englishman,martindale rd,co
989.001038745780,2021-04-23,englishman,martindale rd,co
989.001038745771,2021-04-23,englishman,martindale rd,co
989.001038745457,2021-04-23,englishman,center creek,rbt
989.001038745738,2021-04-23,englishman,martindale rd,co
989.001038745776,2021-04-23,englishman,martindale rd,co
989.001038745775,2021-04-23,englishman,martindale rd,ct
989.001038745743,2021-04-23,englishman,martindale rd,co
989.001038745699,2021-04-23,englishman,martindale rd,co
989.001038745735,2021-04-23,englishman,martindale rd,co
989.001038745417,2021-04-23,englishman,center creek,co
989.001038745429,2021-04-23,englishman,center creek,co
989.001038745482,2021-04-23,englishman,center creek,co
989.001038745440,2021-04-23,englishman,center creek,co
989.001038745736,2021-04-23,englishman,martindale rd,co
989.001038745472,2021-04-23,englishman,center creek,co
989.001038745762,2021-04-23,englishman,martindale rd,co
989.001038745769,2021-04-23,englishman,martindale rd,co
989.001038745476,2021-04-23,englishman,center creek,co
989.001038745483,2021-04-23,englishman,center creek,rbt
989.001038745455,2021-04-23,englishman,center creek,rbt
989.001038745767,2021-04-23,englishman,martindale rd,co
989.001038745740,2021-04-23,englishman,martindale rd,co
989.001038745399,2021-04-23,englishman,center creek,ct
989.001038745416,2021-04-23,englishman,center creek,co
989.001038745451,2021-04-23,englishman,center creek,rbt
989.001038745421,2021-04-23,englishman,center creek,rbt
989.001038745700,2021-04-23,englishman,martindale rd,co
989.001038745690,2021-04-23,englishman,martindale rd,co
989.001038745443,2021-04-23,englishman,center creek,rbt
989.001038745391,2021-04-23,englishman,center creek,co
989.001038745400,2021-04-23,englishman,center creek,rbt
989.001038745426,2021-04-23,englishman,center creek,ct
989.001038745473,2021-04-23,englishman,center creek,co
989.001038745467,2021-04-23,englishman,center creek,ct
989.001038745425,2021-04-23,englishman,center creek,ct
989.001038745406,2021-04-23,englishman,center creek,rbt
989.001038745442,2021-04-23,englishman,center creek,rbt
989.001038745446,2021-04-23,englishman,center creek,co
989.001038745449,2021-04-23,englishman,center creek,rbt
989.001038745437,2021-04-23,englishman,center creek,co
989.001038745452,2021-04-23,englishman,center creek,co
989.001038745475,2021-04-23,englishman,center creek,co
989.001038745404,2021-04-23,englishman,center creek,co
989.001038745432,2021-04-23,englishman,center creek,co
989.001038745402,2021-04-23,englishman,center creek,co
989.001038745462,2021-04-23,englishman,center creek,co
989.001038745456,2021-04-23,englishman,center creek,co
989.001038745434,2021-04-23,englishman,center creek,rbt
989.001038745390,2021-04-23,englishman,center creek,rbt
989.001038745453,2021-04-23,englishman,center creek,rbt
989.001038745748,2021-04-23,englishman,martindale rd,co
989.001038745409,2021-04-23,englishman,center creek,co
989.001039379463,2021-04-24,campbell river,hatchery fence,stl
989.001039379446,2021-04-25,campbell river,hatchery fence,stl
989.001038869378,2021-04-26,black creek,sturgess bridge rd,co
989.001038870385,2021-04-26,black creek,sturgess bridge rd,co
989.001038869377,2021-04-26,black creek,sturgess bridge rd,co
989.001038869368,2021-04-26,black creek,sturgess bridge rd,co
989.001038746462,2021-04-26,englishman,martindale rd,co
989.001038746423,2021-04-26,englishman,martindale rd,co
989.001038869870,2021-04-26,black creek,sturgess bridge rd,co
989.001038870344,2021-04-26,black creek,sturgess bridge rd,co
989.001038869360,2021-04-26,black creek,sturgess bridge rd,co
989.001038746414,2021-04-26,englishman,martindale rd,co
989.001038869841,2021-04-26,black creek,sturgess bridge rd,co
989.001038870362,2021-04-26,black creek,sturgess bridge rd,co
989.001038745663,2021-04-26,englishman,martindale rd,co
989.001038744796,2021-04-26,englishman,center creek,co
989.001038870414,2021-04-26,black creek,sturgess bridge rd,co
989.001038870388,2021-04-26,black creek,sturgess bridge rd,co
989.001038870334,2021-04-26,black creek,sturgess bridge rd,co
989.001038869388,2021-04-26,black creek,sturgess bridge rd,co
989.001038746440,2021-04-26,englishman,martindale rd,co
989.001038869913,2021-04-26,black creek,sturgess bridge rd,co
989.001038870395,2021-04-26,black creek,sturgess bridge rd,co
989.001039379491,2021-04-26,campbell river,hatchery fence,stl
989.001038869362,2021-04-26,black creek,sturgess bridge rd,co
989.001038869329,2021-04-26,black creek,sturgess bridge rd,co
989.001038870349,2021-04-26,black creek,sturgess bridge rd,co
989.001038746424,2021-04-26,englishman,martindale rd,co
989.001038746396,2021-04-26,englishman,martindale rd,co
989.001038745668,2021-04-26,englishman,martindale rd,co
989.001038745638,2021-04-26,englishman,martindale rd,co
989.001038870353,2021-04-26,black creek,sturgess bridge rd,co
989.001038870394,2021-04-26,black creek,sturgess bridge rd,co
989.001038870356,2021-04-26,black creek,sturgess bridge rd,co
989.001038745658,2021-04-26,englishman,martindale rd,co
989.001038745685,2021-04-26,englishman,martindale rd,co
989.001038870419,2021-04-26,black creek,sturgess bridge rd,co
989.001038746454,2021-04-26,englishman,martindale rd,co
989.001038869917,2021-04-26,black creek,sturgess bridge rd,co
989.001038869355,2021-04-26,black creek,sturgess bridge rd,co
989.001038869385,2021-04-26,black creek,sturgess bridge rd,co
989.001038746463,2021-04-26,englishman,martindale rd,co
989.001038745672,2021-04-26,englishman,martindale rd,co
989.001038870374,2021-04-26,black creek,sturgess bridge rd,co
989.001038870360,2021-04-26,black creek,sturgess bridge rd,co
