date,species,count,70.2,cow bay,mainstem fence,skutz,vimy pool
2019-01-29,cn,13,,,,,
2019-02-21,cn,13,,,,,
2019-03-02,cn,1,,,,,
2019-03-05,cn,3,,,,,
2019-03-23,cn,1,,,,,
2019-03-30,cn,1,,,,,
2019-04-17,cn,1,,,,,
2019-04-17,co,1,,,,,
2019-04-20,cn,2,,,,,
2019-04-20,co,32,,,,,
2019-04-21,co,12,,,,,
2019-04-22,co,11,,,,,
2019-04-24,co,12,,,,,
2019-04-26,cn,1,,,,,
2019-04-26,co,77,,,,,
2019-04-28,cn,7,,,,,
2019-04-28,co,60,,,,,
2019-04-29,bt,7,,,,,
2019-04-29,co,146,,,,,
2019-04-30,co,229,,,,,
2019-05-01,bt,13,,,,,
2019-05-01,cn,4,,,,,
2019-05-01,co,379,,,,,
2019-05-03,bt,17,,,,,
2019-05-03,cn,4,,,,,
2019-05-03,co,402,,,,,
2019-05-05,co,130,,,,,
2019-05-06,bt,7,,,,,
2019-05-06,co,485,,,,,
2019-05-07,co,209,,,,,
2019-05-08,bt,1,,,,,
2019-05-08,cn,18,,,,,
2019-05-08,co,354,,,,,
2019-05-09,co,230,,,,,
2019-05-10,bt,1,,,,,
2019-05-10,co,975,,,,,
2019-05-13,cn,1,,,,,
2019-05-13,co,114,,,,,
2019-05-14,bt,1,,,,,
2019-05-14,co,293,,,,,
2019-05-15,cn,7,,,,,
2019-05-15,co,299,,,,,
2019-05-16,co,126,,,,,
2019-05-17,co,105,,,,,
2019-05-23,cn,77,,,,,
2019-05-23,co,100,,,,,
2019-05-29,cn,239,,,,,
2019-05-31,cn,545,,,,,
2019-06-03,cn,381,,,,,
2019-06-05,cn,127,,,,,
2019-06-10,cn,544,,,,,
2019-06-13,cn,397,,,,,
2019-06-14,cn,602,,,,,
2019-06-17,cn,660,,,,,
2019-06-19,cn,366,,,,,
2019-06-21,cn,248,,,,,
2019-06-25,cn,1,,,,,
2019-06-26,cn,82,,,,,
2019-07-05,cn,1,,,,,
2019-07-09,cn,7,,,,,
2019-07-12,cn,7,,,,,
2019-08-23,cn,1,,,,,
2019-08-24,cn,2,,,,,
2019-08-25,cn,1,,,,,
2019-08-26,cn,2,,,,,
2019-08-27,cn,3,,,,,
2019-08-28,cn,1,,,,,
2019-08-29,cn,1,,,,,
2019-09-03,cn,3,,,,,
2019-09-05,cn,6,,,,,
2019-09-06,cn,8,,,,,
2019-09-08,cn,5,,,,,
2019-09-09,cn,1,,,,,
2019-09-11,cn,4,,,,,
2019-09-13,cn,1,,,,,
2019-09-18,cn,1,,,,,
2019-09-19,cn,2,,,,,
2019-09-20,cn,1,,,,,
2019-09-23,cn,2,,,,,
2019-09-24,cn,6,,,,,
2019-09-25,cn,1,,,,,
2019-10-27,cn,15,,,,,
2019-11-01,co,2,,,,,
2019-11-03,cn,2,,,,,
2019-11-05,co,2,,,,,
2019-11-06,co,1,,,,,
2019-11-10,co,7,,,,,
2019-11-12,co,4,,,,,
2019-11-14,co,2,,,,,
2019-11-16,co,4,,,,,
2019-11-18,co,2,,,,,
2019-11-24,co,2,,,,,
