tag_id_long,river_or_estuary,wild_or_hatchery,stock
989.001038888837,estuary,wild,
989.001038888796,estuary,wild,
989.001038888755,estuary,wild,
989.001038888745,estuary,wild,
989.001038888827,estuary,wild,
989.001038869337,river,wild,
989.001038867135,estuary,hatchery,
989.001038867216,estuary,hatchery,
989.001038867196,estuary,hatchery,
989.001038867161,estuary,hatchery,
989.001038867172,estuary,hatchery,
989.001038867198,estuary,hatchery,
989.001038867153,estuary,hatchery,
989.001038867202,estuary,hatchery,
989.001038867168,estuary,hatchery,
989.001038867211,estuary,hatchery,
989.001038867189,estuary,hatchery,
989.001038867178,estuary,hatchery,
989.001038867212,estuary,hatchery,
989.001038867138,estuary,hatchery,
989.001038867180,estuary,hatchery,
989.001038867160,estuary,hatchery,
989.001038867207,estuary,hatchery,
989.001038867204,estuary,hatchery,
989.001038888831,estuary,wild,
989.001038888815,estuary,wild,
989.001038888770,estuary,wild,
989.001038888829,estuary,wild,
989.001038888766,estuary,wild,
989.001039718012,river,wild,
989.001038869385,river,wild,
989.001038867210,estuary,hatchery,
989.001038867140,estuary,hatchery,
989.001038867215,estuary,hatchery,
989.001038867205,estuary,hatchery,
989.001038867170,estuary,hatchery,
989.001038867141,estuary,hatchery,
989.001038867208,estuary,wild,
989.001038867144,estuary,wild,
989.001038887805,estuary,wild,
989.001038887814,estuary,wild,
989.001038887812,estuary,hatchery,
989.001038887829,estuary,hatchery,
989.001038887816,estuary,wild,
989.001038887787,estuary,wild,
989.001038887776,estuary,wild,
989.001038887767,estuary,wild,
989.001038888802,estuary,wild,
989.001038888791,estuary,wild,
989.001038888744,estuary,wild,
989.001038888759,estuary,wild,
989.001038888764,estuary,wild,
989.001038888780,estuary,wild,
989.001038888758,estuary,wild,
989.001038887838,estuary,wild,
989.001038887771,estuary,hatchery,
989.001038887788,estuary,hatchery,
989.001038887752,estuary,hatchery,
989.001038887762,estuary,hatchery,
989.001038887772,estuary,wild,
989.001038887830,estuary,wild,
989.001038887744,estuary,hatchery,
989.001038887793,estuary,wild,
989.001038887825,estuary,wild,
989.001038887747,estuary,wild,
989.001038887813,estuary,hatchery,
989.001038887797,estuary,hatchery,
989.001038887843,estuary,hatchery,
989.001038887823,estuary,hatchery,
989.001038887751,estuary,hatchery,
989.001038887774,estuary,hatchery,
989.001038887826,estuary,hatchery,
989.001038887837,estuary,hatchery,
989.001038887773,estuary,hatchery,
989.001038888761,estuary,wild,
989.001038888786,estuary,wild,
989.001038888804,estuary,wild,
989.001038889288,estuary,wild,
989.001038889266,estuary,wild,
989.001038889321,estuary,wild,
989.001038887808,estuary,hatchery,
989.001038887777,estuary,hatchery,
989.001038887824,estuary,wild,
989.001038887760,estuary,hatchery,
989.001038887817,estuary,hatchery,
989.001038887820,estuary,hatchery,
989.001038887763,estuary,hatchery,
989.001038887769,estuary,hatchery,
989.001038887842,estuary,hatchery,
989.001038887745,estuary,hatchery,
989.001038887779,estuary,hatchery,
989.001038887780,estuary,hatchery,
989.001038887768,estuary,wild,
989.001038887781,estuary,hatchery,
989.001038887831,estuary,hatchery,
989.001038887800,estuary,hatchery,
989.001038887782,estuary,hatchery,
989.001038887746,estuary,hatchery,
989.001038889303,estuary,wild,
989.001038889343,estuary,wild,
989.001038889255,estuary,wild,
989.001038889307,estuary,wild,
989.001038889271,estuary,wild,
989.001038889272,estuary,wild,
989.001039718019,river,wild,
989.001038887759,estuary,hatchery,
989.001038887753,estuary,hatchery,
989.001038887815,estuary,hatchery,
989.001038887811,estuary,hatchery,
989.001038887798,estuary,hatchery,
989.001038887804,estuary,hatchery,
989.001038887810,estuary,hatchery,
989.001038887749,estuary,hatchery,
989.001038887764,estuary,hatchery,
989.001038887807,estuary,wild,
989.001038887786,estuary,hatchery,
989.001038887809,estuary,hatchery,
989.001038887834,estuary,hatchery,
989.001038887792,estuary,hatchery,
989.001038887775,estuary,hatchery,
989.001038887828,estuary,hatchery,
989.001038887789,estuary,hatchery,
989.001038887761,estuary,hatchery,
989.001038889319,estuary,wild,
989.001038889269,estuary,wild,
989.001041745880,estuary,wild,
989.001041745883,estuary,wild,
989.001041745872,estuary,wild,
989.001039718024,river,wild,
989.001038869399,river,wild,
989.001038887785,estuary,hatchery,
989.001038887750,estuary,hatchery,
989.001038887754,estuary,hatchery,
989.001038887803,estuary,hatchery,
989.001038887778,estuary,hatchery,
989.001038887818,estuary,hatchery,
989.001038887833,estuary,hatchery,
989.001038887758,estuary,hatchery,
989.001038887783,estuary,hatchery,
989.001038887794,estuary,wild,
989.001038887836,estuary,hatchery,
989.001038888186,estuary,wild,
989.001038888240,estuary,hatchery,
989.001038888185,estuary,wild,
989.001038888235,estuary,wild,
989.001038888150,estuary,wild,
989.001038888158,estuary,wild,
989.001038888175,estuary,wild,
989.001038888238,estuary,hatchery,
989.001038888183,estuary,hatchery,
989.001038888192,estuary,hatchery,
989.001041744873,estuary,wild,
989.001041744838,estuary,wild,
989.001041745809,estuary,wild,
989.001041745863,estuary,wild,
989.001039718061,river,wild,
989.001038869357,river,wild,
989.001038888191,estuary,hatchery,
989.001038888233,estuary,hatchery,
989.001038888166,estuary,hatchery,
989.001038888162,estuary,hatchery,
989.001038888219,estuary,wild,
989.001038888200,estuary,hatchery,
989.001038888198,estuary,hatchery,
989.001038888216,estuary,hatchery,
989.001038888171,estuary,wild,
989.001038888204,estuary,hatchery,
989.001038888218,estuary,hatchery,
989.001038888173,estuary,hatchery,
989.001038888190,estuary,hatchery,
989.001038888155,estuary,hatchery,
989.001038888232,estuary,wild,
989.001038888237,estuary,hatchery,
989.001038888225,estuary,hatchery,
989.001038888153,estuary,hatchery,
989.001038888195,estuary,hatchery,
989.001038888184,estuary,hatchery,
989.001041744885,estuary,wild,
989.001041744814,estuary,wild,
989.001041745852,estuary,wild,
989.001041745834,estuary,wild,
989.001041745808,estuary,wild,
989.001041745878,estuary,wild,
989.001038888177,estuary,wild,
989.001038888176,estuary,hatchery,
989.001038888205,estuary,hatchery,
989.001038888182,estuary,unknown,
989.001038888208,estuary,hatchery,
989.001038888149,estuary,hatchery,
989.001038888210,estuary,hatchery,
989.001038888144,estuary,hatchery,
989.001038888234,estuary,hatchery,
989.001038888228,estuary,hatchery,
989.001038888213,estuary,hatchery,
989.001038888148,estuary,hatchery,
989.001038888165,estuary,hatchery,
989.001038888156,estuary,hatchery,
989.001038888152,estuary,hatchery,
989.001038888179,estuary,hatchery,
989.001038888193,estuary,hatchery,
989.001038888159,estuary,wild,
989.001038888787,estuary,wild,
989.001041745817,estuary,wild,
989.001041745859,estuary,wild,
989.001041744872,estuary,wild,
989.001041744847,estuary,wild,
