tagid,watershed,earliest_detect_date,source,species
989.001034167475,englishman,2023-05-08 20:42:06.640000,river,stl
989.001034167479,englishman,2023-05-23 00:47:23.350000,river,co
989.001034167488,englishman,2023-05-13 20:02:03.400000,river,co
989.001034167504,englishman,2023-05-11 04:59:44.630000,river,stl
989.001034167506,englishman,2023-07-21 00:50:17.700000,river,ct
989.001034167513,englishman,2023-05-09 04:36:46.670000,river,ct
989.001034167520,englishman,2023-05-06 21:00:20.440000,river,stl
989.001034167560,englishman,2023-06-27 00:44:42.480000,river,ct
989.001038723079,englishman,2023-06-09 00:33:02.730000,river,co
989.001038734109,cowichan,2021-07-27 18:17:06.500000,river,ck
989.001038735605,englishman,2022-05-12 16:48:47.830000,river,co
989.001038735612,englishman,2022-05-10 23:55:59.960000,river,co
989.001038735673,englishman,2022-05-10 21:13:13.810000,river,co
989.001038746210,englishman,2022-05-05 20:52:48.660000,river,co
989.001038746238,englishman,2022-07-02 01:41:52.500000,river,ct
989.001038746239,englishman,2022-05-14 20:52:48.210000,river,co
989.001038746262,englishman,2022-05-08 02:40:51.500000,river,rbt
989.001038746266,englishman,2022-05-19 20:46:25.550000,river,ct
989.001038746284,englishman,2022-05-15 22:23:25.610000,river,rbt
989.001038748004,nanaimo,2021-08-18 15:20:52.110000,river,stl
989.001038748028,nanaimo,2021-08-20 03:35:12.750000,river,stl
989.001038748039,nanaimo,2021-08-21 20:46:13.410000,river,ct
989.001038748069,nanaimo,2021-08-16 07:55:04.330000,river,stl
989.001038748089,nanaimo,2021-08-16 09:20:42.870000,river,stl
989.001038748093,nanaimo,2021-08-20 17:04:19.200000,river,stl
989.001038748102,nanaimo,2021-08-31 22:09:28.620000,river,stl
989.001038748114,nanaimo,2021-08-21 02:18:38.950000,river,rbt
989.001038866258,englishman,2022-05-05 11:54:57.410000,river,co
989.001038866262,englishman,2022-05-05 20:52:47.750000,river,co
989.001038866269,englishman,2022-05-09 05:20:55.310000,river,co
989.001038866281,englishman,2022-05-07 06:23:18.060000,river,co
989.001038866302,englishman,2022-05-07 06:19:43.860000,river,co
989.001038866308,englishman,2022-05-05 11:33:39.120000,river,co
989.001038866726,englishman,2022-05-13 05:00:31.750000,river,co
989.001038866759,englishman,2022-05-04 06:10:41.120000,river,co
989.001038866778,englishman,2022-05-03 20:48:54.220000,river,co
989.001038866812,englishman,2022-05-04 03:08:17.430000,river,co
989.001038866816,englishman,2022-05-09 14:04:13.970000,river,co
989.001038867018,englishman,2022-05-08 00:14:53.010000,river,co
989.001038867024,englishman,2022-05-20 09:19:40.320000,river,co
989.001038867025,englishman,2022-05-10 22:23:18.260000,river,co
989.001038867050,englishman,2022-05-06 07:18:20.090000,river,co
989.001038867067,englishman,2022-05-10 20:54:59.190000,river,co
989.001038867073,englishman,2022-05-10 04:29:15.790000,river,rbt
989.001038867079,englishman,2022-05-07 06:33:05.350000,river,co
989.001038867104,englishman,2022-06-29 05:39:35.580000,river,rbt
989.001038867109,englishman,2022-05-10 12:04:48.990000,river,co
989.001038867111,englishman,2022-05-09 12:41:07.880000,river,co
989.001038867522,englishman,2022-05-11 23:27:23.180000,river,co
989.001038867568,englishman,2022-05-12 05:34:02.560000,river,co
989.001038867584,englishman,2022-05-10 11:56:12.440000,river,co
989.001038867603,englishman,2022-05-10 22:52:46.380000,river,co
989.001038867618,englishman,2022-05-16 21:19:44.910000,river,co
989.001038868074,englishman,2022-05-11 17:02:23.380000,river,co
989.001038868078,englishman,2022-05-12 18:41:02.360000,river,co
989.001038868082,englishman,2022-05-05 21:03:50.910000,river,co
989.001038868086,englishman,2022-05-05 20:52:45.230000,river,co
989.001038868101,englishman,2022-05-12 21:05:48.560000,river,ct
989.001038868124,englishman,2022-05-07 06:19:58.660000,river,co
989.001038868133,englishman,2022-05-18 00:31:31.820000,river,ct
989.001038868144,englishman,2022-05-07 06:23:06.930000,river,co
989.001038868150,englishman,2022-05-11 15:25:26,river,co
989.001038868154,englishman,2022-05-07 05:39:28.540000,river,co
989.001038868189,englishman,2022-05-11 05:15:35.700000,river,co
